nct_id,title,condition,summary,phase,status,search_text
NCT00509782,Phase I Trial of ZIO-101 in Patients With Solid Tumors,Solid Tumors,"Primary Objectives:

1. To determine the toxicities and maximum tolerated dose (MTD) of ZIO-101 when administered intravenously once a day for 5 consecutive days every 4 weeks in subjects with advanced solid tumors.
2. To determine the pharmacokinetic profile of ZIO-101 when administered intravenously once a day for 5 consecutive days every 4 weeks.

Secondary Objective:

1\. To determine the anti-tumor effects of ZIO-101.",PHASE1,COMPLETED,"Phase I Trial of ZIO-101 in Patients With Solid Tumors Solid Tumors Primary Objectives:

1. To determine the toxicities and maximum tolerated dose (MTD) of ZIO-101 when administered intravenously once a day for 5 consecutive days every 4 weeks in subjects with advanced solid tumors.
2. To determine the pharmacokinetic profile of ZIO-101 when administered intravenously once a day for 5 consecutive days every 4 weeks.

Secondary Objective:

1\. To determine the anti-tumor effects of ZIO-101."
NCT05675982,Real-Time Monitoring of Circulating Tumor DNA and Study of Prognostic Factors in Patients Treated With CAR-T Cells,Diffuse Large B Cell Lymphoma,"The purpose of this study is to demonstrate that it is possible to report in real time (less than 3 weeks) to the hematologist the results of the molecular minimal residual disease (MRD) based on blood circulating tumor DNA (ctDNA) assessment taken approximately 7 days after the reinjection of the CAR-T cells, in order to be able to anticipate a possible progression of the disease and to be able to propose salvage or earlier adjuvant therapy to improve patient prognosis.",NA,ACTIVE_NOT_RECRUITING,"Real-Time Monitoring of Circulating Tumor DNA and Study of Prognostic Factors in Patients Treated With CAR-T Cells Diffuse Large B Cell Lymphoma The purpose of this study is to demonstrate that it is possible to report in real time (less than 3 weeks) to the hematologist the results of the molecular minimal residual disease (MRD) based on blood circulating tumor DNA (ctDNA) assessment taken approximately 7 days after the reinjection of the CAR-T cells, in order to be able to anticipate a possible progression of the disease and to be able to propose salvage or earlier adjuvant therapy to improve patient prognosis."
NCT04889924,ALND vs ART in Positive Sentinel Node After Neoadjuvant Therapy in Breast Cancer,"Breast Cancer, Chemotherapy, Sentinel Lymph Node, Axillary Lymph Nodes Dissection, Radiotherapy Side Effect","In the case of primary surgery, in patients with sentinel node involvement, it has already been shown that omitting axillary lymph node dissection (ALND), often combining axillary radiotherapy (RT), does not worsen the prognosis and does significantly reduce the appearance of lymphedema. However, patients who have received neoadjuvant systemic treatment cannot benefit from this option, even though in the majority of those who have responded well to treatment, a residual disease in the armpit is low, but there are no studies yet published that supports the possibility of not performing lymphadenectomy.

The primary endpoint is to evaluate wether axillary radiotherapy (ART) presents a lower risk of lymphedema with respect to lymphadenectomy (ALND) in patients with breast cancer who, after neoadjuvant systemic treatment (NST), present the sentinel node affected. Likewise, we will evaluate recurrences and overall survival in both groups. Finally, we will analyze the quality of life of these patients.",NA,RECRUITING,"ALND vs ART in Positive Sentinel Node After Neoadjuvant Therapy in Breast Cancer Breast Cancer, Chemotherapy, Sentinel Lymph Node, Axillary Lymph Nodes Dissection, Radiotherapy Side Effect In the case of primary surgery, in patients with sentinel node involvement, it has already been shown that omitting axillary lymph node dissection (ALND), often combining axillary radiotherapy (RT), does not worsen the prognosis and does significantly reduce the appearance of lymphedema. However, patients who have received neoadjuvant systemic treatment cannot benefit from this option, even though in the majority of those who have responded well to treatment, a residual disease in the armpit is low, but there are no studies yet published that supports the possibility of not performing lymphadenectomy.

The primary endpoint is to evaluate wether axillary radiotherapy (ART) presents a lower risk of lymphedema with respect to lymphadenectomy (ALND) in patients with breast cancer who, after neoadjuvant systemic treatment (NST), present the sentinel node affected. Likewise, we will evaluate recurrences and overall survival in both groups. Finally, we will analyze the quality of life of these patients."
NCT04484623,Belantamab Mafodotin Plus Pomalidomide and Dexamethasone (Pd) Versus Bortezomib Plus Pd in Relapsed/Refractory Multiple Myeloma,Multiple Myeloma,"This study will evaluate the efficacy and safety of belantamab mafodotin in combination with pomalidomide and dexamethasone (Arm A) compared with that of combination of pomalidomide, bortezomib and dexamethasone (Arm B) in participants with relapsed/refractory multiple myeloma (RRMM).",PHASE3,ACTIVE_NOT_RECRUITING,"Belantamab Mafodotin Plus Pomalidomide and Dexamethasone (Pd) Versus Bortezomib Plus Pd in Relapsed/Refractory Multiple Myeloma Multiple Myeloma This study will evaluate the efficacy and safety of belantamab mafodotin in combination with pomalidomide and dexamethasone (Arm A) compared with that of combination of pomalidomide, bortezomib and dexamethasone (Arm B) in participants with relapsed/refractory multiple myeloma (RRMM)."
NCT02600923,Palbociclib Plus Letrozole For Postmenopausal Women With HR(+) HER2(-) Advanced Breast Cancer For Whom Letrozole Is Deemed Appropriate,Advanced Breast Cancer Female,The purpose of this study is to provide access to palbociclib in Mexico and in selected Latin American countries before it becomes commercially available to patients with HR positive/HER2-negative ABC who are appropriate candidates for letrozole therapy.,PHASE3,COMPLETED,Palbociclib Plus Letrozole For Postmenopausal Women With HR(+) HER2(-) Advanced Breast Cancer For Whom Letrozole Is Deemed Appropriate Advanced Breast Cancer Female The purpose of this study is to provide access to palbociclib in Mexico and in selected Latin American countries before it becomes commercially available to patients with HR positive/HER2-negative ABC who are appropriate candidates for letrozole therapy.
NCT04896580,IIT2020-20-SHIRAZIP-WALK: Nature Walks,"Breast Cancer, Cancer, Lymphoma, Leukemia, Prostate Cancer, Thyroid Cancer, Hematologic Malignancy, Non-hodgkin Lymphoma","The purpose of this study is to examine whether nature-based activities provide benefits for breast cancer survivors. The investigators want to know whether a nature-based exercise program is feasible. Women who were diagnosed with breast cancer and have completed cancer treatment will be recruited for the main study. The main study will enroll up to 20 breast cancer subjects in total.

This intervention will also include a sub-study examining the same outcomes among adolescents and young adult (AYA) subjects who were diagnosed with cancer (any type) and have completed cancer treatment. The sub-study will enroll up to 20 AYA (ages 18-39) subjects.",NA,COMPLETED,"IIT2020-20-SHIRAZIP-WALK: Nature Walks Breast Cancer, Cancer, Lymphoma, Leukemia, Prostate Cancer, Thyroid Cancer, Hematologic Malignancy, Non-hodgkin Lymphoma The purpose of this study is to examine whether nature-based activities provide benefits for breast cancer survivors. The investigators want to know whether a nature-based exercise program is feasible. Women who were diagnosed with breast cancer and have completed cancer treatment will be recruited for the main study. The main study will enroll up to 20 breast cancer subjects in total.

This intervention will also include a sub-study examining the same outcomes among adolescents and young adult (AYA) subjects who were diagnosed with cancer (any type) and have completed cancer treatment. The sub-study will enroll up to 20 AYA (ages 18-39) subjects."
NCT00130780,Multimodality Treatment for Patients With Resectable Non-Small Cell Lung Cancer (NSCLC) - BEACON Study: Bevacizumab and Chemotherapy for Operable NSCLC,"Carcinoma, Non-Small-Cell Lung","This is a phase II, single institution trial for patients with clinical Stage IB-IIIA NSCLC (T1-3N0-2M0) who have resectable lung tumors. The primary goal of this study is to show that the addition of bevacizumab to a cisplatin-based chemotherapy in the neoadjuvant setting for non-squamous cell carcinomas improves the rate of pathologic downstaging, which correlates with survival. Downstaging is defined as any decrease in the final pathologic stage compared with the clinical stage before induction therapy.",PHASE2,COMPLETED,"Multimodality Treatment for Patients With Resectable Non-Small Cell Lung Cancer (NSCLC) - BEACON Study: Bevacizumab and Chemotherapy for Operable NSCLC Carcinoma, Non-Small-Cell Lung This is a phase II, single institution trial for patients with clinical Stage IB-IIIA NSCLC (T1-3N0-2M0) who have resectable lung tumors. The primary goal of this study is to show that the addition of bevacizumab to a cisplatin-based chemotherapy in the neoadjuvant setting for non-squamous cell carcinomas improves the rate of pathologic downstaging, which correlates with survival. Downstaging is defined as any decrease in the final pathologic stage compared with the clinical stage before induction therapy."
NCT01502280,Fluorescence-guided Surgery for Low- and High-grade Gliomas,Glioma,"Gliomas are the most common primary brain tumor, yet remain a challenge to effectively treat. Mounting evidence suggests that survival improves with greater tumor removal, yet being able do a complete removal can be difficult due to the tumor's infiltrating nature. 5-aminolevulinic acid (5-ALA) is a natural compound that, when patients take it by mouth 3 hours before surgery, is selectively taken up by glioma cells and causes a red/pink fluorescence (glow) under a blue light that allows tumor margins to be seen during the course of surgery. While this compound is used as a standard-of-care agent in Europe, it remains under testing by the Food and Drug Administration (FDA). A recent clinical trial in Germany, however, has demonstrated a significant improvement in the rate of complete resection for certain brain tumors (65% vs. 34%).

The Barrow 5-ALA Intraoperative Confocal (BALANCE) Trial will measure the effect of 5-ALA on the amount of glioma tumor removal. To improve the usefulness of 5-ALA, a new special microscope fitted with a blue light, will be used to magnify microscopic fluorescence at the tumor margins. The investigators' hypothesis is that 5-ALA fluorescence with the use of the special microscope during surgery will greatly lower the amount of tumor left behind.",PHASE3,COMPLETED,"Fluorescence-guided Surgery for Low- and High-grade Gliomas Glioma Gliomas are the most common primary brain tumor, yet remain a challenge to effectively treat. Mounting evidence suggests that survival improves with greater tumor removal, yet being able do a complete removal can be difficult due to the tumor's infiltrating nature. 5-aminolevulinic acid (5-ALA) is a natural compound that, when patients take it by mouth 3 hours before surgery, is selectively taken up by glioma cells and causes a red/pink fluorescence (glow) under a blue light that allows tumor margins to be seen during the course of surgery. While this compound is used as a standard-of-care agent in Europe, it remains under testing by the Food and Drug Administration (FDA). A recent clinical trial in Germany, however, has demonstrated a significant improvement in the rate of complete resection for certain brain tumors (65% vs. 34%).

The Barrow 5-ALA Intraoperative Confocal (BALANCE) Trial will measure the effect of 5-ALA on the amount of glioma tumor removal. To improve the usefulness of 5-ALA, a new special microscope fitted with a blue light, will be used to magnify microscopic fluorescence at the tumor margins. The investigators' hypothesis is that 5-ALA fluorescence with the use of the special microscope during surgery will greatly lower the amount of tumor left behind."
NCT00987480,"Hematopoietic Stem Cell Transplantation for the Treatment of Patients With Fanconi Anemia Lacking a Genotypically Identical Donor, Using a Chemotherapy Only Cytoreduction With Busulfan, Cyclophosphamide and Fludarabine","Aplastic Anemia, Leukemia, Myelodysplastic Syndrome","This is a genetic disease (transmitted through the parents' genes) called Fanconi Anemia. Because of that genetic disease, the bone marrow has changed and now has failed, or has given rise to a preleukemia called myelodysplastic syndrome (MDS) or leukemia (acute myelogenous leukemia or AML).

Without treatment these complications of Fanconia anemia (FA) are fatal. The only treatment that can cure these complications is an allogeneic transplant of stem cells, meaning, giving the patient bone marrow cells from a healthy donor that can produce normal blood cells that will replace the bone marrow that is sick.

What has been given for the treatment of FA in the past is to use a combination of low doses of radiation to the whole body (total body irradiation) and low doses of the chemotherapy drugs (cyclophosphamide and fludarabine) before the transplant. However, the use of radiation can, later on, increase the chances of getting a second cancer of the skin, head or the neck. These chances of a second cancer are higher than normal in patients with FA.

The purpose of this study is to find out if the doctors can do the same thing with the same chemotherapy drugs used in the past. However physicians will use another chemotherapy drug called busulfan instead of the radiation. The goal of this study is to get rid of the short term and long term risks of the radiation. The first new part of this treatment will be to replace drugs for radiation with chemotherapy drugs.",PHASE2,COMPLETED,"Hematopoietic Stem Cell Transplantation for the Treatment of Patients With Fanconi Anemia Lacking a Genotypically Identical Donor, Using a Chemotherapy Only Cytoreduction With Busulfan, Cyclophosphamide and Fludarabine Aplastic Anemia, Leukemia, Myelodysplastic Syndrome This is a genetic disease (transmitted through the parents' genes) called Fanconi Anemia. Because of that genetic disease, the bone marrow has changed and now has failed, or has given rise to a preleukemia called myelodysplastic syndrome (MDS) or leukemia (acute myelogenous leukemia or AML).

Without treatment these complications of Fanconia anemia (FA) are fatal. The only treatment that can cure these complications is an allogeneic transplant of stem cells, meaning, giving the patient bone marrow cells from a healthy donor that can produce normal blood cells that will replace the bone marrow that is sick.

What has been given for the treatment of FA in the past is to use a combination of low doses of radiation to the whole body (total body irradiation) and low doses of the chemotherapy drugs (cyclophosphamide and fludarabine) before the transplant. However, the use of radiation can, later on, increase the chances of getting a second cancer of the skin, head or the neck. These chances of a second cancer are higher than normal in patients with FA.

The purpose of this study is to find out if the doctors can do the same thing with the same chemotherapy drugs used in the past. However physicians will use another chemotherapy drug called busulfan instead of the radiation. The goal of this study is to get rid of the short term and long term risks of the radiation. The first new part of this treatment will be to replace drugs for radiation with chemotherapy drugs."
NCT04939480,Window of Opportunity Study of Preoperative Immunotherapy With Atezolizumab in Local SCCHN,Squamous Cell Carcinoma of Head and Neck,"Targeting the PD-L1 pathway with atezolizumab has demonstrated objective responses across a broad range of malignancies including head and neck squamous cell carcinoma (SCCHN). MO39839 is a window of opportunity study investigating the feasibility, safety and postoperative complication rates of preoperative short time immunotherapy with atezolizumab in patients with local SCCHN. In the scope of MO39839 a comprehensive translational research program will be conducted to assess the potential effect of atezolizumab on dynamics in tumor immunity, and to identify and validate potential predictive and prognostic biomarkers.",PHASE2,COMPLETED,"Window of Opportunity Study of Preoperative Immunotherapy With Atezolizumab in Local SCCHN Squamous Cell Carcinoma of Head and Neck Targeting the PD-L1 pathway with atezolizumab has demonstrated objective responses across a broad range of malignancies including head and neck squamous cell carcinoma (SCCHN). MO39839 is a window of opportunity study investigating the feasibility, safety and postoperative complication rates of preoperative short time immunotherapy with atezolizumab in patients with local SCCHN. In the scope of MO39839 a comprehensive translational research program will be conducted to assess the potential effect of atezolizumab on dynamics in tumor immunity, and to identify and validate potential predictive and prognostic biomarkers."
NCT04870879,Colorectal Metastasis and Liver Transplantation With Organs From Deceased Donors,"Colorectal Liver Metastases, Colorectal Adenocarcinoma, Unresectable Malignant Neoplasm","MELODIC trial is an prospective, multicenter, non-randomized, open-label, parallel trial, aimed at assessing the efficacy (in terms of overall survival: OS) of liver transplantation (LT) in unresecable CRC liver-only metastases, compared with a matched cohort of patients bearing the same tumor characteristics, and treated with chemotherapy. Synthesis of Inclusion parameters: ""10;10;10;100""",NA,UNKNOWN,"Colorectal Metastasis and Liver Transplantation With Organs From Deceased Donors Colorectal Liver Metastases, Colorectal Adenocarcinoma, Unresectable Malignant Neoplasm MELODIC trial is an prospective, multicenter, non-randomized, open-label, parallel trial, aimed at assessing the efficacy (in terms of overall survival: OS) of liver transplantation (LT) in unresecable CRC liver-only metastases, compared with a matched cohort of patients bearing the same tumor characteristics, and treated with chemotherapy. Synthesis of Inclusion parameters: ""10;10;10;100"""
NCT04908696,Clinical Treatments in Specialized Diseases of Laryngeal Carcinoma (LC) and Hypopharyngeal Carcinoma (HPC),"Glottic Carcinoma, Supraglottic Carcinoma, Subglottic Carcinoma, Pyriform Sinus Carcinoma, Postcricoid Carcinoma, Posterior Pharyngeal Wall Carcinoma","For early stage laryngeal carcinoma and hypohparyngeal carcinoma (T1 and T2), transoral laser microsurgery, open partial laryngectomy, radiotherapy, and transoral robotic surgery were performed according to NCCN guidelines (2020).

For advanced stage laryngeal carcinoma and hypohparyngeal carcinoma (T3 and T4), surgical treatment ± postoperative adjuvant therapy, chemoradiotherapy, neoadjuvant therapy + radiotherapy/chemoradiotherapy, or neoadjuvant therapy + surgery + radiotherapy or chemoradiotherapy performed according to NCCN guidelines (2020).

This study plan to analyze the clinical ouctomes of different treatment for the same T stage disease. The overall survival rate, disease specific survival, disease free survival, local control, regional control, and laryngeal function preservation rate were analyzed in this study.",,RECRUITING,"Clinical Treatments in Specialized Diseases of Laryngeal Carcinoma (LC) and Hypopharyngeal Carcinoma (HPC) Glottic Carcinoma, Supraglottic Carcinoma, Subglottic Carcinoma, Pyriform Sinus Carcinoma, Postcricoid Carcinoma, Posterior Pharyngeal Wall Carcinoma For early stage laryngeal carcinoma and hypohparyngeal carcinoma (T1 and T2), transoral laser microsurgery, open partial laryngectomy, radiotherapy, and transoral robotic surgery were performed according to NCCN guidelines (2020).

For advanced stage laryngeal carcinoma and hypohparyngeal carcinoma (T3 and T4), surgical treatment ± postoperative adjuvant therapy, chemoradiotherapy, neoadjuvant therapy + radiotherapy/chemoradiotherapy, or neoadjuvant therapy + surgery + radiotherapy or chemoradiotherapy performed according to NCCN guidelines (2020).

This study plan to analyze the clinical ouctomes of different treatment for the same T stage disease. The overall survival rate, disease specific survival, disease free survival, local control, regional control, and laryngeal function preservation rate were analyzed in this study."
NCT01962896,A Phase II Study of Sirolimus and Erlotinib in Recurrent/Refractory Germ Cell Tumors,Relapsed / Recurrent Germ Cell Tumors,"The purpose of this study is to find out if the combination of an mTOR inhibitor (sirolimus) with an EGFR inhibitor (erlotinib) is effective at treating relapsed or refractory germ cell tumors, and to find out what the side-effects of this regimen are.",PHASE2,TERMINATED,"A Phase II Study of Sirolimus and Erlotinib in Recurrent/Refractory Germ Cell Tumors Relapsed / Recurrent Germ Cell Tumors The purpose of this study is to find out if the combination of an mTOR inhibitor (sirolimus) with an EGFR inhibitor (erlotinib) is effective at treating relapsed or refractory germ cell tumors, and to find out what the side-effects of this regimen are."
